male_id,generation,father_id,allel_M1
1,0,-1,15
2,1,1,0
3,1,1,0
4,1,1,15
5,1,1,0
6,1,1,15
7,2,2,0
8,2,2,15
9,2,2,15
10,2,2,15
11,2,2,0
12,2,3,0
13,2,3,15
14,2,3,0
15,2,3,0
16,2,3,15
17,2,4,0
18,2,4,0
19,2,4,15
20,2,4,15
21,2,4,15
22,2,5,15
23,2,5,15
24,2,5,0
25,2,5,0
26,2,5,0
27,2,6,15
28,2,6,15
29,2,6,15
30,2,6,0
31,2,6,0
32,3,7,0
33,3,7,15
34,3,7,0
35,3,7,0
36,3,7,0
37,3,8,0
38,3,8,0
39,3,8,15
40,3,8,15
41,3,8,15
42,3,9,0
43,3,9,15
44,3,9,15
45,3,9,0
46,3,9,0
47,3,10,15
48,3,10,0
49,3,10,0
50,3,10,15
51,3,10,0
52,3,11,15
53,3,11,0
54,3,11,0
55,3,11,15
56,3,11,0
57,3,12,15
58,3,12,0
59,3,12,0
60,3,12,0
61,3,12,15
62,3,13,15
63,3,13,0
64,3,13,15
65,3,13,0
66,3,13,0
67,3,14,0
68,3,14,15
69,3,14,15
70,3,14,15
71,3,14,15
72,3,15,0
73,3,15,0
74,3,15,15
75,3,15,0
76,3,15,15
77,3,16,15
78,3,16,15
79,3,16,15
80,3,16,0
81,3,16,0
82,3,17,0
83,3,17,0
84,3,17,0
85,3,17,0
86,3,17,0
87,3,18,15
88,3,18,15
89,3,18,0
90,3,18,15
91,3,18,15
92,3,19,15
93,3,19,0
94,3,19,15
95,3,19,15
96,3,19,15
97,3,20,15
98,3,20,15
99,3,20,15
100,3,20,0
101,3,20,15
102,3,21,15
103,3,21,0
104,3,21,0
105,3,21,15
106,3,21,15
107,3,22,15
108,3,22,15
109,3,22,0
110,3,22,0
111,3,22,15
112,3,23,0
113,3,23,0
114,3,23,0
115,3,23,15
116,3,23,0
117,3,24,0
118,3,24,0
119,3,24,0
120,3,24,15
121,3,24,0
122,3,25,15
123,3,25,0
124,3,25,0
125,3,25,0
126,3,25,15
127,3,26,0
128,3,26,0
129,3,26,15
130,3,26,0
131,3,26,15
132,3,27,15
133,3,27,15
134,3,27,15
135,3,27,15
136,3,27,0
137,3,28,0
138,3,28,0
139,3,28,0
140,3,28,0
141,3,28,15
142,3,29,0
143,3,29,15
144,3,29,0
145,3,29,15
146,3,29,15
147,3,30,15
148,3,30,15
149,3,30,15
150,3,30,0
151,3,30,15
152,3,31,0
153,3,31,15
154,3,31,0
155,3,31,15
156,3,31,15
157,4,32,15
158,4,32,15
159,4,32,0
160,4,32,15
161,4,32,0
162,4,33,15
163,4,33,0
164,4,33,15
165,4,33,15
166,4,33,15
167,4,34,0
168,4,34,0
169,4,34,15
170,4,34,15
171,4,34,0
172,4,35,15
173,4,35,15
174,4,35,0
175,4,35,0
176,4,35,0
177,4,36,15
178,4,36,0
179,4,36,15
180,4,36,15
181,4,36,15
182,4,37,15
183,4,37,0
184,4,37,15
185,4,37,0
186,4,37,15
187,4,38,0
188,4,38,0
189,4,38,15
190,4,38,15
191,4,38,0
192,4,39,15
193,4,39,0
194,4,39,15
195,4,39,0
196,4,39,0
197,4,40,0
198,4,40,15
199,4,40,0
200,4,40,15
201,4,40,15
202,4,41,15
203,4,41,15
204,4,41,0
205,4,41,15
206,4,41,0
207,4,42,0
208,4,42,15
209,4,42,15
210,4,42,15
211,4,42,15
212,4,43,15
213,4,43,15
214,4,43,15
215,4,43,15
216,4,43,0
217,4,44,15
218,4,44,0
219,4,44,15
220,4,44,15
221,4,44,0
222,4,45,15
223,4,45,15
224,4,45,0
225,4,45,15
226,4,45,0
227,4,46,15
228,4,46,15
229,4,46,15
230,4,46,15
231,4,46,0
232,4,47,15
233,4,47,0
234,4,47,0
235,4,47,15
236,4,47,0
237,4,48,0
238,4,48,0
239,4,48,15
240,4,48,15
241,4,48,0
242,4,49,15
243,4,49,15
244,4,49,15
245,4,49,0
246,4,49,15
247,4,50,15
248,4,50,15
249,4,50,15
250,4,50,0
251,4,50,15
252,4,51,0
253,4,51,15
254,4,51,0
255,4,51,15
256,4,51,15
257,4,52,0
258,4,52,0
259,4,52,15
260,4,52,0
261,4,52,0
262,4,53,0
263,4,53,15
264,4,53,15
265,4,53,15
266,4,53,0
267,4,54,15
268,4,54,15
269,4,54,0
270,4,54,15
271,4,54,15
272,4,55,0
273,4,55,0
274,4,55,0
275,4,55,0
276,4,55,0
277,4,56,0
278,4,56,0
279,4,56,15
280,4,56,15
281,4,56,0
282,4,57,15
283,4,57,0
284,4,57,0
285,4,57,0
286,4,57,15
287,4,58,0
288,4,58,15
289,4,58,0
290,4,58,15
291,4,58,15
292,4,59,0
293,4,59,15
294,4,59,15
295,4,59,0
296,4,59,15
297,4,60,0
298,4,60,15
299,4,60,15
300,4,60,0
301,4,60,0
302,4,61,15
303,4,61,0
304,4,61,0
305,4,61,15
306,4,61,15
307,4,62,0
308,4,62,0
309,4,62,15
310,4,62,0
311,4,62,0
312,4,63,15
313,4,63,0
314,4,63,15
315,4,63,15
316,4,63,0
317,4,64,15
318,4,64,0
319,4,64,0
320,4,64,0
321,4,64,15
322,4,65,15
323,4,65,0
324,4,65,15
325,4,65,15
326,4,65,15
327,4,66,0
328,4,66,15
329,4,66,0
330,4,66,0
331,4,66,0
332,4,67,15
333,4,67,0
334,4,67,0
335,4,67,15
336,4,67,15
337,4,68,0
338,4,68,0
339,4,68,0
340,4,68,0
341,4,68,15
342,4,69,15
343,4,69,0
344,4,69,0
345,4,69,0
346,4,69,15
347,4,70,15
348,4,70,0
349,4,70,15
350,4,70,15
351,4,70,0
352,4,71,0
353,4,71,15
354,4,71,0
355,4,71,0
356,4,71,0
357,4,72,0
358,4,72,15
359,4,72,0
360,4,72,15
361,4,72,0
362,4,73,0
363,4,73,15
364,4,73,0
365,4,73,15
366,4,73,0
367,4,74,15
368,4,74,0
369,4,74,0
370,4,74,15
371,4,74,15
372,4,75,15
373,4,75,0
374,4,75,15
375,4,75,0
376,4,75,0
377,4,76,0
378,4,76,0
379,4,76,0
380,4,76,15
381,4,76,0
382,4,77,0
383,4,77,0
384,4,77,15
385,4,77,15
386,4,77,15
387,4,78,0
388,4,78,15
389,4,78,15
390,4,78,0
391,4,78,0
392,4,79,0
393,4,79,15
394,4,79,15
395,4,79,15
396,4,79,15
397,4,80,0
398,4,80,15
399,4,80,15
400,4,80,0
401,4,80,0
402,4,81,15
403,4,81,15
404,4,81,0
405,4,81,0
406,4,81,0
407,4,82,15
408,4,82,15
409,4,82,15
410,4,82,0
411,4,82,15
412,4,83,0
413,4,83,0
414,4,83,0
415,4,83,0
416,4,83,0
417,4,84,15
418,4,84,0
419,4,84,15
420,4,84,15
421,4,84,15
422,4,85,15
423,4,85,15
424,4,85,0
425,4,85,0
426,4,85,0
427,4,86,15
428,4,86,0
429,4,86,15
430,4,86,0
431,4,86,15
432,4,87,0
433,4,87,15
434,4,87,0
435,4,87,0
436,4,87,15
437,4,88,0
438,4,88,15
439,4,88,0
440,4,88,15
441,4,88,0
442,4,89,0
443,4,89,0
444,4,89,15
445,4,89,15
446,4,89,15
447,4,90,0
448,4,90,0
449,4,90,15
450,4,90,15
451,4,90,15
452,4,91,15
453,4,91,15
454,4,91,15
455,4,91,0
456,4,91,0
457,4,92,0
458,4,92,0
459,4,92,0
460,4,92,0
461,4,92,0
462,4,93,0
463,4,93,15
464,4,93,15
465,4,93,0
466,4,93,0
467,4,94,15
468,4,94,0
469,4,94,15
470,4,94,15
471,4,94,0
472,4,95,15
473,4,95,15
474,4,95,0
475,4,95,0
476,4,95,15
477,4,96,15
478,4,96,15
479,4,96,0
480,4,96,15
481,4,96,0
482,4,97,15
483,4,97,0
484,4,97,0
485,4,97,15
486,4,97,15
487,4,98,0
488,4,98,15
489,4,98,0
490,4,98,0
491,4,98,0
492,4,99,15
493,4,99,0
494,4,99,15
495,4,99,0
496,4,99,15
497,4,100,0
498,4,100,15
499,4,100,0
500,4,100,0
